treat,re75,re78,age,education,black,hispanic,married,nodegree,data_id
1,0,9930.0458984375,37,11,1,0,1,1,NSW
1,0,3595.89404296875,22,9,0,1,0,1,NSW
1,0,24909.44921875,30,12,1,0,0,0,NSW
1,0,7506.14599609375,27,11,1,0,0,1,NSW
1,0,289.789886474609,33,8,1,0,0,1,NSW
1,0,4056.49389648438,22,9,1,0,0,1,NSW
1,0,0,23,12,1,0,0,0,NSW
1,0,8472.158203125,32,11,1,0,0,1,NSW
1,0,2164.02197265625,22,16,1,0,0,0,NSW
1,0,12418.0703125,33,12,0,0,1,0,NSW
1,0,8173.908203125,19,9,1,0,0,1,NSW
1,0,17094.640625,21,13,1,0,0,0,NSW
1,0,0,18,8,1,0,0,1,NSW
1,0,18739.9296875,27,10,1,0,1,1,NSW
1,0,3023.87890625,17,7,1,0,0,1,NSW
1,0,3228.5029296875,19,10,1,0,0,1,NSW
1,0,14581.8603515625,27,13,1,0,0,0,NSW
1,0,7693.39990234375,23,10,1,0,0,1,NSW
1,0,10804.3203125,40,12,1,0,0,0,NSW
1,0,10747.349609375,26,12,1,0,0,0,NSW
1,0,0,23,11,1,0,0,1,NSW
1,0,5149.5009765625,41,14,0,0,0,0,NSW
1,0,6408.9501953125,38,9,0,0,0,1,NSW
1,0,1991.40002441406,24,11,1,0,0,1,NSW
1,7867.916015625,6281.43310546875,33,11,1,0,0,1,NSW
1,0,11163.169921875,18,10,1,0,0,1,NSW
1,0,9642.9990234375,29,11,1,0,1,1,NSW
1,0,9897.048828125,25,11,1,0,0,1,NSW
1,0,11142.8701171875,27,10,0,1,0,1,NSW
1,0,16218.0400390625,17,10,1,0,0,1,NSW
1,0,995.7001953125,24,11,1,0,0,1,NSW
1,0,0,17,10,1,0,0,1,NSW
1,2754.64599609375,26372.279296875,26,11,1,0,1,1,NSW
1,0,6551.591796875,48,4,1,0,0,1,NSW
1,0,1574.42395019531,25,11,1,0,1,1,NSW
1,0,0,20,12,1,0,0,0,NSW
1,0,3191.7529296875,25,12,1,0,0,0,NSW
1,0,20505.9296875,42,14,1,0,0,0,NSW
1,0,6181.8798828125,25,5,1,0,0,1,NSW
1,0,5911.55078125,23,12,1,0,1,0,NSW
1,0,3094.15600585938,46,8,1,0,1,1,NSW
1,0,0,24,10,1,0,0,1,NSW
1,0,1254.58203125,21,12,1,0,0,0,NSW
1,0,13188.830078125,19,9,0,0,0,1,NSW
1,0,8061.48486328125,17,8,1,0,0,1,NSW
1,0,2787.9599609375,18,8,0,1,1,1,NSW
1,0,3972.5400390625,20,11,1,0,0,1,NSW
1,0,0,25,11,1,0,1,1,NSW
1,0,0,17,8,1,0,0,1,NSW
1,0,0,17,9,1,0,0,1,NSW
1,0,12187.41015625,25,5,1,0,0,1,NSW
1,0,4843.17578125,23,12,1,0,0,0,NSW
1,0,0,28,8,1,0,0,1,NSW
1,0,8087.48681640625,31,11,1,0,1,1,NSW
1,0,0,18,11,1,0,0,1,NSW
1,0,2348.97290039063,25,12,1,0,0,0,NSW
1,0,590.781799316406,30,11,1,0,1,1,NSW
1,0,0,17,10,1,0,0,1,NSW
1,0,1067.50598144531,37,9,1,0,0,1,NSW
1,0,7284.98583984375,41,4,1,0,1,1,NSW
1,0,13167.51953125,42,14,1,0,1,0,NSW
1,0,1048.43200683594,22,11,0,0,0,1,NSW
1,0,0,17,8,1,0,0,1,NSW
1,0,1923.93798828125,29,8,1,0,0,1,NSW
1,2836.50610351563,3196.57104492188,28,10,1,0,0,1,NSW
1,0,4666.23583984375,35,10,1,0,0,1,NSW
1,0,549.298400878906,27,11,1,0,0,1,NSW
1,0,762.914611816406,29,4,1,0,0,1,NSW
1,0,10694.2900390625,28,9,1,0,0,1,NSW
1,0,0,27,11,1,0,0,1,NSW
1,0,0,23,7,0,0,0,1,NSW
1,0,8546.71484375,45,5,1,0,1,1,NSW
1,0,7479.65576171875,29,13,1,0,0,0,NSW
1,0,0,27,9,1,0,0,1,NSW
1,0,647.20458984375,46,13,1,0,0,0,NSW
1,0,0,18,6,1,0,0,1,NSW
1,0,11965.8095703125,25,12,1,0,0,0,NSW
1,0,9598.541015625,28,15,1,0,0,0,NSW
1,1698.60705566406,10363.26953125,31,9,1,0,0,1,NSW
1,0,18783.349609375,25,11,0,0,0,1,NSW
1,0,18678.080078125,22,12,1,0,0,0,NSW
1,1284.07897949219,60307.9296875,28,11,1,0,0,1,NSW
1,0,0,21,9,1,0,0,1,NSW
1,0,23005.599609375,40,11,1,0,0,1,NSW
1,0,6456.69677734375,22,11,1,0,0,1,NSW
