county_name,county_code,state_abb,income_quartile,life_exp,pct_uninsured,poverty_rate,pct_religious,pct_black,pct_hispanic,unemployment_rate,median_hh_inc,is_urban,pop,pop_density,pct_smoke,pct_obese,pct_exercise
Autauga,1001,AL,1,76.3599527209818,13.60128,0.1092284,56.11275,17.009,1.396808,0.0373794,34379.54,1,43671,73.27741,0.3333333,0.375,0.5
Autauga,1001,AL,4,84.214984813193,13.60128,0.1092284,56.11275,17.009,1.396808,0.0373794,34379.54,1,43671,73.27741,0.1333333,0.1333333,0.80000001
Baldwin,1003,AL,1,79.5353542193295,19.08533,0.1014709,47.24282,10.22469,1.756222,0.0391124,39219.6,1,140415,87.96024,0.2680965,0.2980501,0.59943181
Baldwin,1003,AL,4,86.2699212418243,19.08533,0.1014709,47.24282,10.22469,1.756222,0.0391124,39219.6,1,140415,87.96024,0.1769911,0.1357466,0.83796299
Barbour,1005,AL,1,79.7325157993197,18.51381,0.267998,41.17019,46.03967,1.646119,0.0681317,24274.2,0,29038,32.81488,0.2285714,0.2941177,0.54285717
Barbour,1005,AL,4,86.6526248821866,18.51381,0.267998,41.17019,46.03967,1.646119,0.0681317,24274.2,0,29038,32.81488,0.1111111,0.2777778,0.72222221
Blount,1009,AL,1,78.5776982924932,19.28041,0.1174281,50.79178,1.171997,5.326905,0.0328471,30229.86,1,51024,79.03526,0.3043478,0.3478261,0.56521738
Blount,1009,AL,4,86.2570051917611,19.28041,0.1174281,50.79178,1.171997,5.326905,0.0328471,30229.86,1,51024,79.03526,0.1666667,0.2352941,0.72222221
Calhoun,1015,AL,1,76.4921739091714,16.07464,0.1611126,64.29367,18.46342,1.561707,0.0501403,31739.22,1,112249,184.48,0.2941177,0.25,0.54430377
Calhoun,1015,AL,4,84.8984633915614,16.07464,0.1611126,64.29367,18.46342,1.561707,0.0501403,31739.22,1,112249,184.48,0.1824818,0.3358209,0.81060606
Chambers,1017,AL,1,77.4145043260647,18.82137,0.1703605,54.24104,37.91925,0.7653828,0.0494312,28871.58,1,36583,61.26085,0.2368421,0.4444444,0.66666669
Chambers,1017,AL,4,84.6911802490542,18.82137,0.1703605,54.24104,37.91925,0.7653828,0.0494312,28871.58,1,36583,61.26085,0.375,0.5,0.75
Chilton,1021,AL,1,78.7708478992301,19.99786,0.1570229,62.71058,10.43366,2.909605,0.0436641,28448.61,1,39593,57.05218,0.1851852,0.36,0.48148149
Chilton,1021,AL,4,85.7248527917729,19.99786,0.1570229,62.71058,10.43366,2.909605,0.0436641,28448.61,1,39593,57.05218,0.2222222,0.5555556,0.77777779
Clarke,1025,AL,1,79.7138875613079,16.63706,0.2258816,57.46223,42.76743,0.6459253,0.0893002,28073.51,1,27867,22.50287,0.0666667,0.4333333,0.5
Clarke,1025,AL,4,83.9628027264278,16.63706,0.2258816,57.46223,42.76743,0.6459253,0.0893002,28073.51,1,27867,22.50287,0,0.2727273,0.84615386
Coffee,1031,AL,1,77.85330679547,18.11449,0.1469591,69.58385,18.22767,2.712369,0.0564018,33960.36,1,43615,64.23512,0.1960784,0.3695652,0.60784316
Coffee,1031,AL,4,85.1975369532693,18.11449,0.1469591,69.58385,18.22767,2.712369,0.0564018,33960.36,1,43615,64.23512,0.1714286,0.2647059,0.77142859
Colbert,1033,AL,1,78.5763810644388,14.65307,0.1395999,66.82671,16.543,1.123963,0.0625484,33145.2,1,54984,92.48277,0.3548387,0.4098361,0.5
Colbert,1033,AL,4,84.7698984260731,14.65307,0.1395999,66.82671,16.543,1.123963,0.0625484,33145.2,1,54984,92.48277,0.1904762,0.2857143,0.90476191
Covington,1039,AL,1,79.3207104189349,17.53984,0.1844967,69.92905,12.2718,0.775956,0.0576527,29839.67,0,37631,36.40009,0.3255814,0.3902439,0.62790698
Covington,1039,AL,4,86.5069080578974,17.53984,0.1844967,69.92905,12.2718,0.775956,0.0576527,29839.67,0,37631,36.40009,0,0.2142857,0.53333336
Cullman,1043,AL,1,78.5469017162934,18.92017,0.1299916,71.15883,0.9369797,2.178542,0.042035,31528.85,1,77483,104.9297,0.2056075,0.2307692,0.63551402
Cullman,1043,AL,4,86.6532550677931,18.92017,0.1299916,71.15883,0.9369797,2.178542,0.042035,31528.85,1,77483,104.9297,0.255814,0.2926829,0.72093022
Dale,1045,AL,1,77.8938637250808,14.87033,0.1509354,48.62098,20.1551,3.342222,0.0505812,28494.76,1,49129,87.56243,0.2272727,0.3571429,0.63636363
Dale,1045,AL,4,85.4777535672834,14.87033,0.1509354,48.62098,20.1551,3.342222,0.0505812,28494.76,1,49129,87.56243,0.2083333,0.3913043,0.875
Dallas,1047,AL,1,77.401844482351,16.06074,0.3105486,43.60833,62.9807,0.6254718,0.0840064,26798.92,1,46365,47.27685,0.2896552,0.5248227,0.55479455
Dallas,1047,AL,4,84.9812773077996,16.06074,0.3105486,43.60833,62.9807,0.6254718,0.0840064,26798.92,1,46365,47.27685,0.0416667,0.2608696,0.83333331
DeKalb,1049,AL,1,78.9725177064481,23.4593,0.1539102,59.97952,1.650841,5.551418,0.0437882,29350.54,1,64452,82.85249,0.19,0.3030303,0.56999999
DeKalb,1049,AL,4,85.5231506390643,23.4593,0.1539102,59.97952,1.650841,5.551418,0.0437882,29350.54,1,64452,82.85249,0.125,0.3043478,0.83333331
Elmore,1051,AL,1,78.0751724105834,14.29589,0.1024389,46.51911,20.50126,1.22203,0.0386334,31156.06,1,65874,106.0336,0.3913043,0.3134328,0.48571429
Elmore,1051,AL,4,85.0605363100287,14.29589,0.1024389,46.51911,20.50126,1.22203,0.0386334,31156.06,1,65874,106.0336,0.1724138,0.1272727,0.75862068
Escambia,1053,AL,1,77.7849628389628,19.47329,0.2086959,53.05931,30.69459,0.9859521,0.055974,26024.19,0,38440,40.57494,0.2777778,0.4411765,0.5
Escambia,1053,AL,4,82.693329159954,19.47329,0.2086959,53.05931,30.69459,0.9859521,0.055974,26024.19,0,38440,40.57494,0.2142857,0.1538462,0.71428573
Etowah,1055,AL,1,77.3694333381678,18.33494,0.1569798,68.31209,14.61448,1.704057,0.0600306,31576.7,1,103459,193.4455,0.3357143,0.2846715,0.5244565
Etowah,1055,AL,4,85.5082370900592,18.33494,0.1569798,68.31209,14.61448,1.704057,0.0600306,31576.7,1,103459,193.4455,0.1445783,0.2278481,0.81481481
Franklin,1059,AL,1,77.7784390732739,23.20653,0.1888521,64.59341,4.186017,7.417609,0.0695541,27611.74,1,31223,49.1202,0.3142857,0.2857143,0.45714286
Franklin,1059,AL,4,85.0368883761056,23.20653,0.1888521,64.59341,4.186017,7.417609,0.0695541,27611.74,1,31223,49.1202,0,0.4,0.83333331
Geneva,1061,AL,1,79.67515576213,19.72452,0.1961859,65.76231,10.57677,1.758267,0.0583924,27748.29,1,25764,44.7074,0.2727273,0.483871,0.38235295
Geneva,1061,AL,4,83.1697969897861,19.72452,0.1961859,65.76231,10.57677,1.758267,0.0583924,27748.29,1,25764,44.7074,0,0.5555556,0.66666669
Houston,1069,AL,1,78.8486711432378,16.68623,0.1499897,67.82412,24.44389,1.263698,0.0390972,35262.85,1,88787,152.9861,0.2830189,0.3653846,0.55445546
Houston,1069,AL,4,84.9013377886129,16.68623,0.1499897,67.82412,24.44389,1.263698,0.0390972,35262.85,1,88787,152.9861,0.0625,0.2795699,0.78021979
Jackson,1071,AL,1,78.295466675867,18.64322,0.1367446,47.58187,3.712495,1.13118,0.0595902,29498.9,1,53926,49.98964,0.4,0.3846154,0.5
Jackson,1071,AL,4,84.5486122607587,18.64322,0.1367446,47.58187,3.712495,1.13118,0.0595902,29498.9,1,53926,49.98964,0.25,0.2857143,0.875
Jefferson,1073,AL,1,77.3665451210264,16.14558,0.1477299,60.1273,39.21519,1.553364,0.0394048,38584.14,1,662047,595.0411,0.2739872,0.3191257,0.56505805
Jefferson,1073,AL,4,85.8748249530443,16.14558,0.1477299,60.1273,39.21519,1.553364,0.0394048,38584.14,1,662047,595.0411,0.1327751,0.1863581,0.85567009
